Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Cor,Dri,Fin,Fir,Hea,Lon,L Th,Mar,Fre,Tck,Tec,Pas,Pen,Cro,Inf,Av Rat,Apps,Transfer Status,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Argentina,Country_Australia,Country_Austria,Country_Belgium,Country_Bosnia & Herzegovina,Country_Brazil,Country_China,Country_Colombia,Country_Cyprus,Country_Czechia,Country_DR Congo,Country_England,Country_Finland,Country_France,Country_Germany,Country_Ghana,Country_Greece,Country_Honduras,Country_Hungary,Country_Italy,Country_Ivory Coast,Country_Mexico,Country_Morocco,Country_Netherlands,Country_Nigeria,Country_Norway,Country_Portugal,Country_Qatar,Country_Russia,Country_Saudi Arabia,Country_Scotland,Country_Senegal,Country_Spain,Country_Sweden,Country_Switzerland,Country_Türkiye,Country_U.A.E.,Country_U.S.A.,Country_Ukraine,Country_nan
Jhoao Lamus,26,75,Fairly Professional,4684,1.265,2036-06-30,13750.0,1.1,Colombia (First Division),Colombian First Division,2034-07-07,1.1,13,14,15,10,14,13,5,16,8,14,8,9,12,12,12,15,15,12,14,13,13,11,5,3,3,7,15,3,2,12,8,12,10,7,4,2,,6.90,47,Not set,- - -,47,0,Colombia,542.0,25.50171115674196,0.49828884325804246,4.0,469.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Demir Ege Tıknaz,30,76,Resolute,4684,7.5,2036-06-30,13250.0,0.95,Türkiye (1. League),Turkish 1. League,2032-12-26,0.75,10,14,12,15,12,13,14,7,10,11,13,15,12,16,13,11,15,11,10,12,16,11,6,11,5,15,9,9,5,9,6,11,14,14,6,5,Wnt,6.93,18 (1),Not set,- - -,19,0,Türkiye,542.0,27.973990417522245,2.026009582477755,4.0,435.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Dragan Jovanović,23,74,Realist,4681,2.75,2036-06-30,6000.0,0.0,Netherlands (Eredivisie),Eredivisie,2032-03-24,0.85,11,14,8,14,10,12,12,15,10,8,14,16,14,15,13,16,15,14,14,13,16,15,5,11,7,13,6,11,1,9,2,10,13,13,7,5,Wnt,6.80,1 (4),Not set,- - -,5,0,Netherlands,542.0,20.215605749486652,2.784394250513347,2.0,495.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Franco Ibarra,33,69,Balanced,4677,0.07100000000000001,2035-06-30,5750.0,,Türkiye (Super League),Turkish Super League,2034-07-15,10.5,16,13,16,12,12,10,10,12,9,14,12,11,14,7,10,12,9,10,10,9,13,10,10,9,4,13,12,10,8,12,9,13,12,13,10,7,,6.77,4 (11),Not set,- - -,15,0,Türkiye,176.0,32.52361396303901,0.47638603696098564,3.0,492.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Rhys Youlley,29,73,Resolute,4675,0.6050000000000001,2037-06-30,4400.0,0.675,Australia (A-League),Isuzu UTE A-League,2033-12-10,0.875,13,12,9,13,11,18,7,14,12,11,12,14,12,15,9,11,13,11,12,9,13,10,8,8,11,12,10,12,4,11,8,11,15,12,6,7,Int,7.70,11,Not set,- - -,11,0,Australia,907.0,27.92950034223135,1.0704996577686516,4.0,434.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gerard Yepes,32,67,Fairly Determined,4674,15.5,2036-06-30,62000.0,26.0,England (Sky Bet Championship),Sky Bet Championship,2034-05-04,24.5,11,15,12,13,15,13,13,12,13,17,14,14,16,15,11,10,5,12,12,10,16,11,12,10,5,16,10,12,4,13,11,12,13,16,10,8,Wnt,6.86,5 (7),Listed,- - -,12,1,England,542.0,31.326488706365502,0.6735112936344969,4.0,480.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Frederik Nielsen,25,73,Resolute,4644,5.5,2038-06-30,36500.0,18.0,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2033-09-01,13.5,9,15,9,12,11,14,9,13,9,13,9,14,12,15,13,15,14,11,13,12,15,12,7,7,5,16,9,13,4,11,10,10,15,17,3,4,Wnt,6.60,0 (4),Not set,- - -,4,0,France,1272.0,23.65571526351814,1.3442847364818618,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jack Fletcher,27,72,Driven,4629,30.5,2037-06-30,48000.0,,England (Sky Bet Championship),Sky Bet Championship,2033-06-30,0.65,6,14,9,13,9,15,13,9,13,9,10,17,13,18,13,16,14,13,12,12,16,15,12,11,13,13,7,14,4,5,8,7,14,15,6,12,Wnt,7.27,26,Not set,- - -,26,0,England,907.0,25.483230663928815,1.516769336071184,4.0,480.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Christoph Floßmann,25,73,Resolute,4627,30.0,2039-06-30,61000.0,6.5,Germany (Bundesliga),Bundesliga,2034-12-23,17.0,10,14,18,14,15,13,5,10,9,16,11,12,13,15,13,16,15,13,14,13,16,14,8,6,5,10,12,6,8,13,10,16,9,12,6,8,,6.97,18,Not set,- - -,18,0,Germany,1637.0,24.964407939767284,0.03559206023271732,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ahmad Dehghani,26,71,Mercenary,4622,2.5375,2038-06-30,12250.0,0.875,Netherlands (Eredivisie),Eredivisie,2034-09-01,1.5,17,12,18,14,9,13,16,10,13,12,15,16,12,15,12,14,13,11,12,12,12,12,7,11,4,12,10,6,1,10,3,9,14,13,2,4,Int,6.54,11 (2),Not set,- - -,13,0,Netherlands,1272.0,25.655030800821354,0.34496919917864477,2.0,495.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Domagoj Josić,26,68,Perfectionist,4621,1.045,2036-12-31,14750.0,1.0,Norway (Premier Division),Norwegian Premier Division,2034-06-03,1.5,11,11,15,12,8,15,8,14,8,13,12,14,12,15,14,12,6,13,13,13,15,13,1,11,4,12,8,9,5,11,3,12,15,15,7,5,,6.64,8 (14),Not set,- - -,22,0,Norway,726.0,25.408624229979466,0.5913757700205339,4.0,487.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lautaro Tondi,25,68,Fairly Professional,4599,11.9,2036-12-31,20000.0,4.7,Argentina (Premier Division),Argentine Premier Division,2033-07-27,4.7,10,14,14,12,17,16,11,8,10,13,11,11,10,11,12,15,9,12,15,9,16,15,8,7,3,12,8,7,5,10,8,12,15,16,5,8,,-,-,Not set,- - -,0,0,Argentina,726.0,23.55715263518138,1.4428473648186173,4.0,490.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hayden Hackney,32,70,Fairly Determined,4598,11.1,2036-06-30,49500.0,9.0,England (Sky Bet Championship),Sky Bet Championship,2034-01-05,26.5,10,13,13,15,14,14,12,13,12,13,12,16,12,15,13,14,8,10,12,10,13,12,10,12,10,13,9,12,4,12,9,12,15,15,11,11,,7.10,25,Not set,- - -,25,0,England,542.0,31.000684462696782,0.999315537303217,4.0,480.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Leonardo,24,69,Fairly Determined,4595,32.5,2039-06-30,82000.0,13.0,Italy (Serie A),Italian Serie A,2034-09-01,13.0,11,14,18,16,13,15,12,8,11,14,12,17,15,15,15,16,8,15,14,13,15,14,6,10,6,15,9,12,8,12,11,12,17,16,5,7,,6.88,8 (13),Not set,- - -,21,0,Italy,1637.0,23.655030800821354,0.34496919917864477,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Claudio Gomes,34,71,Balanced,4586,0.0015,2035-06-30,3000.0,,France (R1 - Auvergne RA - B),French Regional 1 - Auvergne Rhône Alpes - Group B,2033-01-03,3.8,14,12,14,11,13,11,9,13,10,13,12,10,13,12,9,10,7,8,7,6,14,8,3,9,5,11,8,9,4,11,3,12,12,11,4,6,Lst,7.73,9,Listed,- - -,9,1,France,176.0,31.9958932238193,2.004106776180698,3.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lewis Bate,32,66,Balanced,4582,,2036-12-31,6500.0,,U.S.A. (MLS),Major League Soccer,2034-12-13,1.6,11,11,12,14,12,13,10,11,12,14,12,14,13,12,14,13,5,12,11,6,14,12,8,10,7,13,6,8,2,10,9,11,16,16,10,6,,-,-,Not set,- - -,0,0,U.S.A.,726.0,31.93702943189596,0.06297056810403832,3.0,478.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Samuel Nibombé,27,78,Fairly Professional,4580,8.2,2038-06-30,19000.0,2.8,Belgium (Jupiler Pro League),Jupiler Pro League,2034-04-30,2.2,11,14,10,13,15,13,12,15,12,13,11,13,11,14,12,15,16,12,12,14,13,11,6,9,10,12,12,6,7,14,6,12,11,11,9,9,Inj,6.87,11 (4),Not set,- - -,15,0,Belgium,1272.0,26.315537303216974,0.6844626967830253,4.0,491.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Christian Pinzón,23,69,Resilient,4569,7.3,2038-12-31,28000.0,7.25,Brazil (First Division),Brazilian National First Division,2034-09-02,7.0,20,13,11,12,12,15,12,15,12,11,15,13,16,15,14,16,4,14,17,13,13,13,1,9,2,10,8,9,1,11,2,12,12,16,3,5,,-,-,Not set,- - -,0,0,Brazil,1456.0,22.65776865160849,0.34223134839151265,4.0,493.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jacob Christensen,33,71,Balanced,4561,1.4,2036-06-30,13750.0,0.6,Germany (Bundesliga 2),Bundesliga 2,2034-04-04,1.3,15,12,15,13,14,12,10,11,12,13,13,14,14,14,11,12,11,11,12,10,14,10,11,9,5,13,7,9,7,12,10,12,13,12,11,8,,6.53,0 (12),Not set,- - -,12,0,Germany,542.0,32.24435318275154,0.75564681724846,3.0,464.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hans Nicolussi Caviglia,34,71,Perfectionist,4559,0.088,2035-06-30,5750.0,,France (Ligue 2 BKT),Ligue 2 BKT,2034-07-28,20.5,12,13,11,13,12,12,14,11,12,15,14,13,15,16,12,13,10,11,11,9,15,10,10,10,10,13,5,11,7,10,9,11,14,15,11,12,,6.89,8 (9),Not set,- - -,17,0,France,176.0,33.559206023271734,0.4407939767282683,4.0,450.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Brayan Marín,28,71,Resolute,4550,6.300000000000001,2038-12-31,33500.0,0.525,Brazil (First Division),Brazilian National First Division,2034-12-21,0.625,15,10,9,10,15,13,9,10,9,13,12,11,13,16,13,15,12,12,12,10,13,15,5,9,7,11,7,6,4,12,5,14,11,10,1,9,,-,-,Not set,- - -,0,0,Brazil,1456.0,27.958932238193018,0.04106776180698152,4.0,493.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Winners Osawe,28,74,Fairly Determined,4532,7.1,2036-06-30,22000.0,0.65,Germany (Bundesliga 2),Bundesliga 2,2033-04-05,0.525,12,11,12,10,14,12,13,10,11,13,12,14,12,15,15,14,16,13,14,14,15,13,3,12,7,12,9,9,7,12,5,12,12,13,7,9,Wnt,7.11,16,Not set,- - -,16,0,Germany,542.0,26.247775496235455,1.7522245037645447,4.0,464.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Merveille Papela,33,69,Fairly Professional,4523,0.007,2035-06-30,3100.0,,DR Congo (Linafoot B),DR Congo Premier Division B,2033-07-01,2.9,16,11,16,10,13,9,12,8,8,11,12,9,14,14,10,8,8,8,8,7,13,8,6,9,6,9,9,9,6,11,5,13,11,10,6,6,Ask,6.90,2 (13),Not set,- - -,15,0,DR Congo,176.0,31.48596851471595,1.514031485284052,4.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lennard Becker,29,74,Fairly Professional,4516,6.6,2036-06-30,26500.0,1.2,Germany (Bundesliga 2),Bundesliga 2,2034-03-27,1.0,13,13,8,9,11,13,9,15,15,11,9,14,13,13,13,16,15,13,13,12,10,13,4,11,11,13,12,12,1,12,6,12,11,15,13,6,,6.80,16 (1),Not set,- - -,17,0,Germany,542.0,28.222450376454482,0.7775496235455168,4.0,464.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mor Ndiaye,34,73,Balanced,4502,0.004,2035-06-30,1200.0,,Senegal (Senegalese Ligue 1),Senegalese Ligue 1,2034-05-22,3.4,16,13,15,13,10,10,7,11,9,14,14,12,12,12,8,10,15,9,10,10,16,6,6,7,7,12,11,9,9,13,5,14,12,12,9,6,,7.15,22,Not set,- - -,22,0,Senegal,176.0,33.37577002053388,0.6242299794661191,3.0,302.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Federico Navarro,34,67,Balanced,4492,0.18,2035-06-30,105000.0,5.5,Qatar (Stars League),Qatar Stars League,2033-06-26,9.25,14,13,10,14,12,15,9,11,12,14,13,14,15,12,9,11,8,8,10,9,16,8,5,7,2,14,6,11,5,14,4,14,13,14,15,7,,7.29,18 (6),Not set,- - -,24,0,Qatar,176.0,32.47227926078029,1.5277207392197125,3.0,472.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Mamadou N'Diaye,26,71,Resolute,4492,2.95,2036-12-31,13250.0,0.95,Norway (Premier Division),Norwegian Premier Division,2032-08-27,1.3,11,14,16,12,16,14,4,14,8,13,8,10,11,15,12,16,12,12,11,16,10,11,5,8,3,9,9,4,5,12,8,12,13,7,6,3,Wnt,6.70,9 (8),Not set,- - -,17,0,Norway,726.0,23.642710472279262,2.3572895277207393,4.0,487.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mirko Topić,33,75,Balanced,4484,0.0,,8500.0,,Norway (Second Division Group 1),Norwegian Second Division Group 1,2032-07-21,2.2,12,13,10,12,12,12,12,9,12,13,12,13,12,13,7,10,14,8,8,6,13,10,6,11,7,11,11,12,7,12,6,10,12,11,8,8,Trn,7.14,25,Not set,- - -,25,0,Norway,,30.541409993155373,2.458590006844627,3.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Marius Broholm,30,68,Balanced,4484,10.2,2037-06-30,13500.0,,Netherlands (Eredivisie),Eredivisie,2034-07-22,7.25,14,13,11,10,14,13,14,6,10,11,11,14,12,14,15,13,7,13,12,8,12,14,11,13,10,12,4,11,1,6,9,4,12,13,11,12,Inj,7.15,24,Not set,- - -,24,0,Netherlands,907.0,29.54277891854894,0.45722108145106094,3.0,495.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Moisés Mosquera,33,74,Balanced,4481,0.235,2035-06-30,16750.0,1.4,Mexico (First Division),Mexican First Division,2032-03-30,1.4,14,16,13,12,16,13,8,8,6,14,12,9,14,14,8,9,13,9,7,9,15,7,3,7,5,9,13,5,4,12,3,14,10,11,4,5,,6.74,25,Not set,- - -,25,0,Mexico,176.0,30.232032854209447,2.7679671457905544,3.0,489.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Diogo Silva Medina,22,70,Fairly Determined,4468,19.5,2039-12-31,17000.0,10.75,Brazil (First Division),Brazilian National First Division,2034-02-26,8.5,9,14,17,12,14,12,8,11,12,13,14,13,11,15,16,15,7,14,15,15,15,14,4,7,6,13,8,8,4,14,9,15,13,16,5,8,Wnt,-,-,Not set,- - -,0,0,Brazil,1821.0,21.143052703627653,0.8569472963723477,4.0,493.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cacá,35,74,Balanced,4463,0.0,,,,Brazil,-,,8.75,11,13,11,12,13,14,12,7,10,15,12,8,9,13,5,7,14,7,8,5,14,7,3,4,7,11,13,7,5,13,5,13,11,11,4,6,Ret,-,-,Not set,- - -,0,0,Brazil,,,,3.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Camilo Rey Domenech,28,72,Resolute,4462,8.6,2037-12-31,24500.0,7.0,Brazil (First Division),Brazilian National First Division,2033-01-20,9.25,7,13,9,12,11,16,8,11,11,14,10,15,12,15,13,16,13,13,11,10,16,12,7,9,8,16,8,11,4,10,8,12,16,15,4,8,Lst,-,-,Listed,- - -,0,1,Brazil,1091.0,26.04243668720055,1.9575633127994525,4.0,493.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Renato Putzu,19,73,Balanced,4462,24.5,2038-06-30,23000.0,15.25,Italy (Serie A),Italian Serie A,2033-09-01,4.2,18,11,15,12,14,11,12,8,10,13,14,13,13,13,14,17,13,13,13,14,15,12,7,8,5,12,14,10,11,13,11,16,14,12,6,8,Loa,6.67,1 (5),Not set,- - -,6,0,Italy,1272.0,17.65571526351814,1.3442847364818618,3.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Silvano Vos,29,71,Fairly Professional,4452,6.199999999999999,2037-06-30,8500.0,4.2,Netherlands (Eredivisie),Eredivisie,2033-06-20,6.25,13,13,12,13,13,12,12,12,9,12,12,12,12,13,12,15,12,11,12,12,13,11,9,10,5,13,8,8,2,11,8,11,13,13,10,9,,6.79,19,Not set,- - -,19,0,Netherlands,907.0,27.455852156057496,1.5441478439425051,4.0,495.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bartuğ Elmaz,31,68,Fairly Determined,4451,,2036-06-30,1800.0,,Türkiye (1. League),Turkish 1. League,2034-11-30,1.2,12,12,9,14,10,13,15,8,10,9,12,15,11,15,11,9,8,8,11,9,10,9,12,6,5,13,7,13,4,10,11,9,13,13,9,9,,6.92,18,Not set,- - -,18,0,Türkiye,542.0,30.901437371663246,0.09856262833675565,4.0,435.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Marc Leonard,33,71,Balanced,4446,1.1,2035-05-31,27500.0,5.5,Scotland (cinch Premiership),cinch Premiership,2033-08-01,4.5,7,14,7,15,13,14,14,11,13,12,12,16,13,12,9,12,10,8,11,8,14,10,14,7,6,14,7,7,5,13,11,13,14,16,9,10,,7.33,13 (2),Not set,- - -,15,0,Scotland,146.0,31.570841889117045,1.429158110882957,3.0,486.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Han-Noah Massengo,33,70,Balanced,4440,0.41,2036-06-30,9000.0,,Türkiye (Super League),Turkish Super League,2034-07-01,15.5,12,15,10,16,11,10,15,5,14,14,11,13,15,13,12,12,3,11,11,10,16,9,8,12,7,13,9,6,3,12,10,13,13,14,11,9,,6.54,1 (10),Not set,- - -,11,0,Türkiye,542.0,32.48528405201917,0.5147159479808351,3.0,492.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Lucas Ladino,24,70,Fairly Determined,4436,2.4000000000000004,2035-12-31,5500.0,1.0,Colombia (First Division),Colombian First Division,2033-07-16,1.2,9,13,18,14,10,13,9,8,11,13,12,14,12,15,13,14,2,12,12,12,14,15,4,7,5,14,7,10,3,9,6,11,15,13,1,6,,6.94,44,Not set,- - -,44,0,Colombia,360.0,22.527036276522928,1.4729637234770705,4.0,469.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Yury Stogov,23,72,Spirited,4429,40.0,2038-06-30,65000.0,14.0,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2033-08-30,10.25,11,13,9,13,13,15,11,16,11,11,12,15,15,15,16,14,13,13,15,12,14,15,3,11,9,13,8,10,2,10,5,9,16,13,7,6,,6.83,23 (1),Not set,- - -,24,0,France,1272.0,21.650239561943874,1.3497604380561259,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Adem Zorgane,34,73,Balanced,4414,0.0,,,,Belgium,-,,16.25,14,13,12,15,12,12,14,15,12,11,12,14,12,12,8,12,12,6,6,7,13,8,7,8,9,14,8,7,8,10,8,11,14,14,9,6,FrA,-,-,Not set,- - -,0,0,Belgium,,,,3.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Santiago Castro,23,76,Fairly Professional,4409,22.0,2038-12-31,28500.0,9.25,Argentina (Premier Division),Argentine Premier Division,2034-07-13,7.5,19,13,18,14,9,14,8,10,15,10,14,14,12,12,15,16,16,12,16,13,16,15,3,11,7,12,10,10,1,8,5,7,15,14,5,7,,-,-,Not set,- - -,0,0,Argentina,1456.0,22.51813826146475,0.48186173853524983,4.0,490.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Artem Karpukas,32,72,Resolute,4407,,2036-06-30,33500.0,,Saudi Arabia (Saudi Pro League),Saudi Professional League,2033-07-01,36.0,12,14,14,12,14,13,12,10,12,13,13,13,16,15,10,13,13,12,14,11,15,11,9,9,9,11,9,10,8,13,7,16,12,12,7,10,Inj,7.43,14,Not set,- - -,14,0,Saudi Arabia,542.0,30.48596851471595,1.514031485284052,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Eryk Grzywacz,28,73,Fairly Determined,4404,8.2,2037-06-30,23000.0,,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2034-07-01,0.675,11,10,9,15,13,12,9,5,10,16,11,9,11,15,14,11,15,14,10,11,15,13,6,6,9,15,12,9,5,12,7,12,11,16,6,8,,6.77,2 (2),Not set,- - -,4,0,France,907.0,27.485284052019164,0.5147159479808351,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alemão,32,76,Balanced,4388,2.2,2035-06-30,16750.0,9.75,England (Sky Bet League One),Sky Bet League One,2033-07-17,23.5,13,15,15,12,12,12,5,11,7,13,11,11,12,9,10,12,17,12,10,13,13,13,2,4,6,10,14,5,9,13,7,13,9,11,6,4,Wnt,6.84,25,Listed,- - -,25,1,England,176.0,30.529774127310063,1.4702258726899384,3.0,433.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Edvard Tagseth,33,67,Resolute,4384,0.235,2035-06-30,6500.0,,Spain (Second Division),Spanish Second Division,2034-06-05,4.2,17,14,14,12,12,13,13,9,11,12,13,13,16,15,12,14,5,8,9,9,15,10,11,9,8,13,4,8,8,10,10,12,14,13,10,12,Wnt,6.66,4 (13),Not set,- - -,17,0,Spain,176.0,32.41409993155373,0.5859000684462696,4.0,447.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Gjivai Zechiël,30,69,Fairly Determined,4374,7.5,2036-12-31,49500.0,17.5,China (Super League),Chinese Super League,2034-07-25,18.25,14,16,9,12,13,16,7,11,13,13,12,14,13,15,15,12,8,13,12,10,13,13,7,12,11,14,5,13,4,12,7,10,14,14,8,6,Wnt,7.57,29 (1),Not set,- - -,30,0,China,726.0,29.550992470910334,0.4490075290896646,4.0,460.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
